Galphas	AC1	1.0
Galphas	AC2	1.0
Galphas	AC5	1.0
PI3K	PIP3	1.0
NtypeCaCh	Ca2plus	1.0
PLCgamma	DAG	1.0
Calmodulin	AC1	1.0
Calmodulin	CaMKII	1.0
Calmodulin	NMDAR	-1.0
Calmodulin	PLCbeta	1.0
Calmodulin	PP2B	1.0
Calmodulin	mGluR7	-1.0
PIP3	PDK1	1.0
PIP3	PKC	1.0
PKC	AC2	1.0
PKC	AC5	1.0
PKC	NMDAR	-1.0
PKC	NtypeCaCh	1.0
PKC	PLCbeta	-1.0
PKC	mGluR1	1.0
PKC	mGluR7	1.0
PQtypeCaCh	Ca2plus	1.0
PKA	D1R	-1.0
PKA	NMDAR	1.0
PKA	PLCbeta	-1.0
PKA	PLCgamma	-1.0
PKA	PQtypeCaCh	-1.0
PKA	mGluR7	1.0
mGluR1	Gbetagamma	1.0
CaMKII	NtypeCaCh	1.0
CaMKII	PP2A	-1.0
cAMP	PKA	1.0
Gbetagamma	AC1	-1.0
Gbetagamma	AC2	1.0
Gbetagamma	NtypeCaCh	-1.0
Gbetagamma	PI3K	1.0
Gbetagamma	PLCbeta	1.0
Gbetagamma	PQtypeCaCh	1.0
Galphai	AC2	-1.0
Galphai	AC5	-1.0
PP2B	NMDAR	-1.0
NMDAR	Ca2plus	1.0
NMDAR	CaMKII	1.0
NMDAR	PLCgamma	1.0
AC1	cAMP	1.0
DAG	PKC	1.0
AC2	cAMP	1.0
PDK1	PKC	1.0
PLCbeta	DAG	1.0
AC5	cAMP	1.0
Ca2plus	AC5	-1.0
Ca2plus	Calmodulin	1.0
Ca2plus	PKC	1.0
PP2A	NMDAR	-1.0
D1R	Galphai	1.0
D1R	Galphas	1.0
D1R	Gbetagamma	1.0
mGluR7	Galphai	1.0
mGluR7	Gbetagamma	1.0
