AKT	ASK1	-1.0
AKT	FOXO	-1.0
AKT	GSK3	-1.0
AKT	IKKA	1.0
AKT	MDM2	1.0
AKT	Raf	-1.0
AKT	TSC2	-1.0
AKT	pras40	-1.0
ASK1	MKK3	1.0
FOXO	RTPKgene	1.0
GSK3	PTEN	-1.0
GSK3	TSC2	1.0
GSK3	betaTrCP	1.0
IKKA	NFkB	1.0
IKKA	betacatenin	1.0
MDM2	p53	-1.0
Raf	MEK	1.0
TSC2	Rheb	-1.0
TSC2	mTORC2	1.0
pras40	mTORC1	-1.0
MKK3	p38alpha	1.0
Axin	betaTrCP	1.0
betaTrCP	betacatenin	-1.0
CK1	betaTrCP	1.0
DKK1	LRP	-1.0
LRP	Axin	-1.0
LRP	CK1	-1.0
LRP	GSK3	-1.0
DKK1gene	DKK1	1.0
DUSP1	JNK1	-1.0
DUSP1	p38alpha	-1.0
JNK1	LRP	1.0
p38alpha	DUSP1	1.0
p38alpha	GRAP2	-1.0
p38alpha	GSK3	-1.0
p38alpha	LRP	1.0
p38alpha	MSK	1.0
p38alpha	RTPK	-1.0
p38alpha	TAB1	-1.0
p38alpha	p53	1.0
DUSP6	ERK	-1.0
ERK	DUSP6	1.0
ERK	GAB	-1.0
ERK	GSK3	-1.0
ERK	IRS1	-1.0
ERK	LRP	1.0
ERK	MEK	-1.0
ERK	MSK	1.0
ERK	RSK	1.0
ERK	Raf	-1.0
ERK	SOS	-1.0
ERK	TSC2	-1.0
Dvl	GSK3	-1.0
Dvl	Rac	1.0
Rac	MEKK4	1.0
Rac	MLK3	1.0
GAB	PI3K	1.0
GAB	SHP2	1.0
IRS1	PI3K	1.0
MEK	ERK	1.0
MEK	RTPK	-1.0
MSK	DUSP1	1.0
MSK	NFkB	1.0
RSK	GSK3	-1.0
RSK	TSC2	-1.0
RSK	mTORC1	1.0
SOS	Ras	1.0
Egr1	PTENgene	1.0
PTENgene	PTEN	1.0
RTPKgene	RTPK	1.0
Fz	Dvl	1.0
Fz	LRP	1.0
PI3K	PDK1	1.0
SHP2	Ras	1.0
GRAP2	MKK4	1.0
GRAP2	MKK7	1.0
MKK4	JNK1	1.0
MKK4	p38alpha	1.0
MKK7	JNK1	1.0
GRB2	GAB	1.0
GRB2	SOS	1.0
PTEN	PDK1	-1.0
PTEN	SHC1	-1.0
NFkB	MDM2gene	1.0
betacatenin	LEF	1.0
betacatenin	TCF	1.0
IKKB	IRS1	-1.0
IKKB	MAP3K8	1.0
IKKB	NFkB	1.0
IKKB	TSC2	-1.0
MAP3K8	MEK	1.0
LEF	MMP	1.0
MMP	RTPK	1.0
p53	IKKB	-1.0
p53	MDM2gene	1.0
MDM2gene	MDM2	1.0
RTPK	SHC1	1.0
MEKK4	MKK4	1.0
MLK3	MKK4	1.0
NLK	FOXO	-1.0
NLK	TCF	-1.0
TCF	DKK1gene	1.0
TCF	Egr1	-1.0
TCF	cMYC	1.0
PDK1	AKT	1.0
PDK1	RSK	1.0
PDK1	S6K	1.0
S6K	GSK3	-1.0
S6K	IRS1	-1.0
S6K	MDM2	-1.0
S6K	mTORC2	-1.0
SHC1	GRB2	1.0
mTORC1	DUSP6	1.0
mTORC1	S6K	1.0
Ras	PI3K	1.0
Ras	Raf	1.0
Rheb	Raf	-1.0
Rheb	mTORC1	1.0
mTORC2	AKT	1.0
mTORC2	Rac	1.0
SFRP1	Fz	-1.0
SFRP1gene	SFRP1	1.0
TAB1	TAK1	1.0
TAK1	IKKB	1.0
TAK1	MKK3	1.0
TAK1	MKK4	1.0
TAK1	MKK7	1.0
TAK1	NLK	1.0
cMYC	DKK1gene	-1.0
cMYC	SFRP1gene	-1.0
